description,task
I cannot switch some products of purchase 00004587345,change order
add item to order 732201349959,change order
I can't switch some products of purchase 00004587345,change order
do you deliver to Dublin?,others
can i place an order from Liverpool,others
can you help me see when my item is going to arrive?,others
help listing the fucking available payment options,others
where can i see ur availabe payment modalities,others
how could I see your allowed payment modalities?,others
how do i list the pament modalities,others
"I want to check what payment methods are available, help me",others
is it possible to check what payment options you accept?,others
where to check what payment options you accept?,others
what do I have to do to see the accepted payment options?,others
can you help me see trhe payment methods?,others
show me the accepted paymnt options,others
how to see the ETA of the purchase 732201349959?,track order
where ispurchase 113542617735902?,track order
how do I see order 00004587345 current status?,track order
I want to check te ETA of purchase 00004587345,track order
ineed assistance to see purchase 00004587345 status,track order
check ETA of order 113542617735902,track order
wanna see the ETA of the purchase 113542617735902,track order
need to see the eta of purchase 00123842,track order
I want assistance seeing the ETA of the order 00004587345,track order
how to see order 00123842 status,track order
i have got to see the status of order 00004587345 help me,track order
can uhelp me seeing the ETA of the order 113542617735902,track order
want help tracking order 113542617735902,track order
order 00004587345 status,track order
help me check the current status of order 370795561790,track order
I need to check the ETA of the purchase 113542617735902,track order
need help to see the ETA of the order 00004587345,track order
help me to check the status of purchase 113542617735902,track order
how do I check purchase 00123842 current status?,track order
i have got to locate order 113542617735902 could ya help mw,track order
status of order 00123842,track order
purchase 00123842 status,track order
want assistance seeing the ETA of the order 732201349959,track order
checking ETA of order 370795561790,track order
I try to see the status of order 00004587345,track order
I try to see the ETA of order 00123842,track order
need help to see the et of order 732201349959,track order
checking status of order 732201349959,track order
assistance to see purchase 370795561790 status,track order
see estimated time ofarrival of order 370795561790,track order
check order 00123842 status,track order
how can i see purchase 370795561790 current status,track order
see order 732201349959 status,track order
check the status of purchase 113542617735902,track order
check order 113542617735902 status,track order
checking ETA of order 113542617735902,track order
I try to hceck the status of purchase 00123842,track order
help me to check order 113542617735902 current status,track order
I want help to locate purchase 00123842,track order
wanna see order 370795561790 current status,track order
I want help to locate  order 00123842,track order
i need help to track purchase 370795561790,track order
check status of order 113542617735902,track order
checking status of order 00123842,track order
how can I see purchase 00123842 current status?,track order
order 370795561790 status,track order
I can't locate order 370795561790,track order
assistance checking the currnet status of order 732201349959,track order
"I want to teack order 00004587345, how to do it?",track order
can you help me see the ETA of the purchase 00004587345?,track order
check order 00123842 current status,track order
wanmt help to check the ETA of order 732201349959,track order
tracking purchase 00123842,track order
help to see the eta of order 732201349959,track order
i have to see the ETA of order 732201349959 i need help,track order
checking status of order,track order
tracking order 370795561790,track order
would it be possible to locate purchase113542617735902?,track order
i have to see oredr 00123842 status i need help,track order
i need assistance seeong the ETA of order 00004587345,track order
help me see the status of order 732201349959,track order
"I want to track my last delivery, how do I do it?",track order
checking order 732201349959 status,track order
I don't know how I can see the ETA of order 00123842,track order
how to check the ETA of the purchase 00123842?,track order
checking status of order 370795561790,track order
I cannot see order 00123842 current status,track order
I want assistance locating purchase 370795561790,track order
see purchase 732201349959 status,track order
where to see order 370795561790 current status,track order
help seeing order 732201349959 status,track order
where is ordered 00004587345?,track order
i do not know how to remove the freemium account,others
could you help me solve a damn issue with payment?,payment issue
what do i have to do to report an error with online payment,payment issue
I need assistance notifying of a trouble with oline payment,payment issue
want assistance to sove a problem with online payment,payment issue
I do not know how to notify of a problem with payments,payment issue
need to inform of a trouble with online payments,payment issue
I try to report troublles with online payments,payment issue
i cannot pay want assistance to report a payment issuew,payment issue
I want assisance to inform of a problem with payment,payment issue
I want help to solve an error with online payments,payment issue
I need help notifying of a trouble with online payment,payment issue
solve an issue with online payment,payment issue
help solving errors with online payment,payment issue
"I need to notify of a fucking issue with payments, help me",payment issue
reporting payment issue,payment issue
report payment issue,payment issue
can you help me notify of a proboem with payment?,payment issue
I need help to notify of errors with online payment,payment issue
payment issue,payment issue
wanna report a trouble with payment,payment issue
i need assistance solving a trouble with online payments,payment issue
i need assistance to report troubles with payments,payment issue
want assistance to solve errors with online payment,payment issue
I want assistance informing of troubles with online payment,payment issue
reporting trouble with online payment,payment issue
i want assistance to inform of an issue with payment,payment issue
can you help me to notify of a fucking problem with payment?,payment issue
i dont know what to do to notify of payment issues,payment issue
I'm trying to inform of a payment error,payment issue
I need assistance notifying of a trouble with payments,payment issue
I want help reporting an isue with payment,payment issue
"I cannot pay, I have to inform of payment issues",payment issue
where can I report a trouble with payments?,payment issue
issue with payments,payment issue
I need help to notify of a trouble with online payment,payment issue
I don't know how to notify of problpems with payment,payment issue
reporting issues with payments,payment issue
i try toi report errors with payments,payment issue
can uhelp me to inofrm of issues with payments,payment issue
need assistance solving a problem with payment,payment issue
want help to solve a trouble with online payment,payment issue
where to inform of payment issues?,payment issue
how can I notify of an error with payment?,payment issue
error with online payments,payment issue
where to notify of an issue with payment?,payment issue
I need help informing of a problem with online payment,payment issue
reporting issue with payments,payment issue
I do not know what to do to inform of errors with payments,payment issue
I want assistance to notify of payment problems,payment issue
I want assistance solving a trouble with online payments,payment issue
I need to notify of payment errors,payment issue
inform of issues with online payment,payment issue
where could i notify of payment errors,payment issue
I need assistance to solve bloody problems with payments,payment issue
assistance informing of problems with payments,payment issue
I need to report an error with payment,payment issue
need assistance to notify of errors with payment,payment issue
i want assistance to solve troubles with online payments,payment issue
i have to notify of a problem with payments,payment issue
reporting issues with payment,payment issue
i need assistance solving an error with payments,payment issue
how can i inform of problems with online payment,payment issue
"my card was declined, how to report issues with payment?",payment issue
help notifying of a payment error,payment issue
need help to report an trouble with payments,payment issue
i want assistance informing of an issue with payments,payment issue
I try to notify of fucking errors with online payment,payment issue
i need assistance to notify of an issue with online payment,payment issue
help regarding payment,payment issue
help to notify of an payment error,payment issue
can you help me solving a payment error?,payment issue
updating details on pro account,others
correct details on free account,others
editing details on pro account,others
correcting information on pro account,others
edit info o freemium account,others
editing details on standard account,others
edit data on freemium account,others
editing account,others
edit info o premium account,others
changing data on Platinum account,others
I have a question about my PIN code reset,others
i lost the goddamn pwd of my account need help to restore it,others
want assistance to recover the PIN code of my user,others
how can i get information about lost key,others
help to retrieve my PIN code,others
I don't know what to do to restore my profile access key,others
have a question about a lost padsword,others
help me to retrieve my account access key,others
how to restore my user PIN?,others
find information about receiving ur newsletter,others
I need help to receive your fucking corporate newsletter,others
i want help unsubscribing to ur company newsletter,others
tell me more about the corporate newsletter subscription,others
need help unsubscribing from your company newsletter,others
I do not know how to receive the company newsletter,others
I try to subscribe to the newsletter,others
I want information about my company newsletter subscription,others
wanna know about signing up to ur newsletter,others
how to receive ur corporate newsltter,others
need to unsubscribe from ur newsletter,others
subscribe to company newsletter,others
I need information about the subscription to your newsletter,others
i need assistance receiving the coroorate newsletter,others
could I unsubscribe to the corporate newsletter?,others
help me tol subscribe to your company newsletter,others
where can I unsubscribe from your corporate newsletter?,others
I need to cancel the corporate newsletter subscription,others
can you help me canceling my subscription to the newsletter?,others
help me to cancel my subscription to your company newsletter,others
can you show me the status of m newsletter subscription?,others
i do not know what to do to speak with an assistant,others
i want assikstance to talk with an agent,others
could you help me set a fucking delivery address up?,others
I get eror messages when I try to set up my delivery address,others
I do not know how to report a problem with registrations,others
I'd like to report errors with registrations help me,others
i dont knos how to notify of issues with a registration,others
i have got to check the eaqrly exit penalty how can i do it,others
assistance checking the early termination penalties,others
how do I see the termination fees?,others
find invoice #00108,others
check invoice from Mr. Jones,others
look for bill from David Miller,others
how do i write a comment for ur services,others
I need assistance to leave a review for your products,others
I do not know how to leave some feedback about your company,others
is there a method to submit feedback for your products?,others
i try to leave an opinion for ur company,others
writing comment for ur products,others
is there an address to leave an opinion about a product?,others
want help to write a review about ur products,others
can I write a review for your services?,others
where can I leave a review about a service?,others
need help to leave an opinion for your services,others
I try to send some feedback for a service,others
is there an e-mail to leave a review for a product ?,others
can ya help me to send my feedback for ur services,others
wanna leave a bloody opinion about ur servics,others
where can i leave a comment for ur company,others
I need help to leave my feedback for a product,others
i have to leave a rview about ur company i need assistance,others
I try to leave an opinion about a service,others
I am trying to leave feedback about a product,others
help to submit my feedback,others
open a gold account for my fiancee,others
icannot open a Freemium account,others
open premium account for bride,others
I need information about modifying my delivery address,others
where can I change my address?,others
i cant change my delivery address,others
what do I need to  do to request rebates?,others
refund 350 dollars,others
I am trying to demand a compensation,others
"I want to obtain a restitution of my money, I need help",others
how can I request a restitution of my money ?,others
refunding$299,others
can ya help me demandkng a damn rebate,others
i paid $1499 for this item help getting a compensation,others
receive money back,others
reimbursing 1200 dollars,others
can you help me obtain a reimbursement?,others
I try to demand a compensation,others
need to demand a refund of money,others
i want assistance obtaining fucking restitutions of money,others
"I want to receive a refund of my money, can you help me?",others
I'm waiting for a reimbursement fo 1200 dollars,others
I expect a refund of $1200,others
I'm waiting for a rebate of 160 dollars,others
i expect a restituton of 1499 dollars,others
I expect a restitution of $350,others
I expect a restitution of 299 dollars,others
i expect a restitution of $350,others
"I expect a compensation of $299, was it processed",others
i expect a rebate of $1200,others
I'm waiting for a refund of 299 dollars,others
I am trying to file as claim against your business,others
"my experience with your service was bad, file a claim",others
help me to lodge a customer claim against your company,others
i need help to get the invoices from David Miller,others
help to get my invoices from David Miller,others
can ya help me to get the invoices from Anna Freeman,others
get invoice from Anna Freeman,others
get invoices from ten months ago,others
"I lost my invoice #00108, could you mail it to me?",others
"I have to get the bills from Ms. Hawkings, help me",others
I do not know how to get the bill from Mr. Smith,others
get bills from Mr. Jones,others
